ステージ管理人,Stage Manager
海賊スクアーロ,Pirate Squalo
花束交換屋ププリン,Bouquet Shop Pupurin
セオドルト,Theodort
スラシャボン,Liquid Soap Slime
たたきモグラ,Mashing Mole
カメラこぞう,Clicksy
トランプジョーカー,Card Joker
ラブアロー,Love Arrow
ホタルビー,Firefly
サウルステントウ,Ladyceratops
おそうじ童子,Sweepy Samurai
ナウマンコック,Naumanncook
うたウーノン,Khalamari Singer
ヨバン,Yoban
時の化身クルッチ,Ickle the Tockle
テグロー,Tegro
ピッカード,Pickard
マルフェ,Malfe
ジナール,Ginard
モクシュラ,Mokushura
ニルド,Nirudo
スプラウト,Sprout
シュラウド,Shroud
ザビアナ,Zaviana
ナスビナーラ2,Woebergine 2
ナスビナーラ3,Woebergine 3
ナスビナーラ4,Woebergine 4
ナスビナーラ5,Woebergine 5
ナスビナーラ6,Woebergine 6
ナスビナーラ7,Woebergine 7
ドミネウスの剣,Domineus' Sword
トルード,Trood
エネオラ,Eneola
ロアナ,Roana
オリザ,Oriza
ユベール,Hubert
イパ,Ipa
グッディ,Goody
シーラ,Sheila
ジョゼ,Jose
ミハイル,Mikhail
プリエラ,Priera
メルクル,Merkel
ガンダック,Gandak
バンケイ,Bankei
モーニ,Moni
クレリア,Clelia
イグリー,Egley
ギャラス,Gallas
ルッホ,Rucho
ミネット,Minette
ヤッガイ,Yuggai
学園長の魔法陣,Principal's Magic Square
煙幕弾,Smokebomb
郵便配達人,Mailman
ピーチちゃん,Peach-chan
おすもっこり,Sumo Wrapper
コルベ神父,Father Kolbe
エテーネ軍の兵士Ｄ,Ethene Army Soldier D
デビルニャン,Devil Cat
リンダ,Linda
まいこ,Maiko
アイリン,Airin
万象流転の書,Book of All Things
オグニ,Ogni
パンタジオ,Pantagio
コパカ,Copaca
ネフティ,Nefty
ポディオ,Podio
サプラ,Supura
キークック,Kikukku
デフィ,Defi
ヘルジャー,Helger
ウィズネイ,Whitney
リリアージュ,Lilliage
ベスラ,Vesrah
ゲスター,Gester
センシア,Sencia
レグレス,Legres
ゴワイネン,Gowinen
リージャル,Rejar
エスマ,Esuma
リッジグロー,Ridge Glow
ママルボン,Mamarbon
ロジチ,Logichi
ネブリィ,Nebri
ジーナフ,Genaf
バルチャン,Balchan
トブキ,Tobuki
プリパティ,Puripati
コルビィ,Corby
ノビッチ,Novich
オルギン,Holguin
鬼門のヌエ,Demon Lion Nue
テンオツ貴人,Nobleman Tenotsu
テンオツ鬼神,Fierce God Tenotsu
千夜ライジン,1000 Nights Raijin
千夜フウジン,Wind God of Night
行商人リドバン,Peddler Lidban
オブジェクト座標000,Object Coordinates 000
オブジェクト座標001,Object Coordinates 001
オブジェクト座標002,Object Coordinates 002
オブジェクト座標003,Object Coordinates 003
オブジェクト座標004,Object Coordinates 004
オブジェクト座標005,Object Coordinates 005
オブジェクト座標006,Object Coordinates 006
オブジェクト座標007,Object Coordinates 007
オブジェクト座標008,Object Coordinates 008
オブジェクト座標009,Object Coordinates 009
オブジェクト座標010,Object Coordinates 010
オブジェクト座標011,Object Coordinates 011
オブジェクト座標012,Object Coordinates 012
オブジェクト座標013,Object Coordinates 013
オブジェクト座標014,Object Coordinates 014
オブジェクト座標015,Object Coordinates 015
オブジェクト座標016,Object Coordinates 016
オブジェクト座標017,Object Coordinates 017
オブジェクト座標018,Object Coordinates 018
オブジェクト座標019,Object Coordinates 019
オブジェクト座標020,Object Coordinates 020
オブジェクト座標021,Object Coordinates 021
オブジェクト座標022,Object Coordinates 022
オブジェクト座標023,Object Coordinates 023
オブジェクト座標024,Object Coordinates 024
オブジェクト座標025,Object Coordinates 025
オブジェクト座標026,Object Coordinates 026
オブジェクト座標027,Object Coordinates 027
オブジェクト座標028,Object Coordinates 028
オブジェクト座標029,Object Coordinates 029
オブジェクト座標030,Object Coordinates 030
オブジェクト座標031,Object Coordinates 031
オブジェクト座標032,Object Coordinates 032
オブジェクト座標033,Object Coordinates 033
オブジェクト座標034,Object Coordinates 034
オブジェクト座標035,Object Coordinates 035
オブジェクト座標036,Object Coordinates 036
オブジェクト座標037,Object Coordinates 037
オブジェクト座標038,Object Coordinates 038
オブジェクト座標039,Object Coordinates 039
オブジェクト座標040,Object Coordinates 040
オブジェクト座標041,Object Coordinates 041
オブジェクト座標042,Object Coordinates 042
オブジェクト座標043,Object Coordinates 043
オブジェクト座標044,Object Coordinates 044
オブジェクト座標045,Object Coordinates 045
オブジェクト座標046,Object Coordinates 046
オブジェクト座標047,Object Coordinates 047
オブジェクト座標048,Object Coordinates 048
オブジェクト座標049,Object Coordinates 049
オブジェクト座標050,Object Coordinates 050
オブジェクト座標051,Object Coordinates 051
オブジェクト座標052,Object Coordinates 052
オブジェクト座標053,Object Coordinates 053
オブジェクト座標054,Object Coordinates 054
オブジェクト座標055,Object Coordinates 055
オブジェクト座標056,Object Coordinates 056
オブジェクト座標057,Object Coordinates 057
オブジェクト座標058,Object Coordinates 058
オブジェクト座標059,Object Coordinates 059
オブジェクト座標060,Object Coordinates 060
オブジェクト座標061,Object Coordinates 061
オブジェクト座標062,Object Coordinates 062
オブジェクト座標063,Object Coordinates 063
オブジェクト座標064,Object Coordinates 064
オブジェクト座標065,Object Coordinates 065
オブジェクト座標066,Object Coordinates 066
オブジェクト座標067,Object Coordinates 067
オブジェクト座標068,Object Coordinates 068
オブジェクト座標069,Object Coordinates 069
オブジェクト座標070,Object Coordinates 070
オブジェクト座標071,Object Coordinates 071
オブジェクト座標072,Object Coordinates 072
オブジェクト座標073,Object Coordinates 073
オブジェクト座標074,Object Coordinates 074
オブジェクト座標075,Object Coordinates 075
オブジェクト座標076,Object Coordinates 076
オブジェクト座標077,Object Coordinates 077
オブジェクト座標078,Object Coordinates 078
オブジェクト座標079,Object Coordinates 079
オブジェクト座標080,Object Coordinates 080
オブジェクト座標081,Object Coordinates 081
オブジェクト座標082,Object Coordinates 082
オブジェクト座標083,Object Coordinates 083
オブジェクト座標084,Object Coordinates 084
オブジェクト座標085,Object Coordinates 085
オブジェクト座標086,Object Coordinates 086
オブジェクト座標087,Object Coordinates 087
オブジェクト座標088,Object Coordinates 088
オブジェクト座標089,Object Coordinates 089
オブジェクト座標090,Object Coordinates 090
オブジェクト座標091,Object Coordinates 091
オブジェクト座標092,Object Coordinates 092
オブジェクト座標093,Object Coordinates 093
オブジェクト座標094,Object Coordinates 094
オブジェクト座標095,Object Coordinates 095
オブジェクト座標096,Object Coordinates 096
オブジェクト座標097,Object Coordinates 097
オブジェクト座標098,Object Coordinates 098
オブジェクト座標099,Object Coordinates 099
オブジェクト座標100,Object Coordinates 100
オブジェクト座標101,Object Coordinates 101
オブジェクト座標102,Object Coordinates 102
オブジェクト座標103,Object Coordinates 103
オブジェクト座標104,Object Coordinates 104
オブジェクト座標105,Object Coordinates 105
オブジェクト座標106,Object Coordinates 106
オブジェクト座標107,Object Coordinates 107
オブジェクト座標108,Object Coordinates 108
オブジェクト座標109,Object Coordinates 109
オブジェクト座標110,Object Coordinates 110
オブジェクト座標111,Object Coordinates 111
オブジェクト座標112,Object Coordinates 112
オブジェクト座標113,Object Coordinates 113
オブジェクト座標114,Object Coordinates 114
オブジェクト座標115,Object Coordinates 115
オブジェクト座標116,Object Coordinates 116
オブジェクト座標117,Object Coordinates 117
オブジェクト座標118,Object Coordinates 118
オブジェクト座標119,Object Coordinates 119
オブジェクト座標120,Object Coordinates 120
オブジェクト座標121,Object Coordinates 121
オブジェクト座標122,Object Coordinates 122
オブジェクト座標123,Object Coordinates 123
オブジェクト座標124,Object Coordinates 124
オブジェクト座標125,Object Coordinates 125
オブジェクト座標126,Object Coordinates 126
オブジェクト座標127,Object Coordinates 127
オブジェクト座標128,Object Coordinates 128
オブジェクト座標129,Object Coordinates 129
オブジェクト座標130,Object Coordinates 130
オブジェクト座標131,Object Coordinates 131
オブジェクト座標132,Object Coordinates 132
オブジェクト座標133,Object Coordinates 133
オブジェクト座標134,Object Coordinates 134
オブジェクト座標135,Object Coordinates 135
オブジェクト座標136,Object Coordinates 136
オブジェクト座標137,Object Coordinates 137
オブジェクト座標138,Object Coordinates 138
オブジェクト座標139,Object Coordinates 139
オブジェクト座標140,Object Coordinates 140
オブジェクト座標141,Object Coordinates 141
オブジェクト座標142,Object Coordinates 142
オブジェクト座標143,Object Coordinates 143
オブジェクト座標144,Object Coordinates 144
オブジェクト座標145,Object Coordinates 145
オブジェクト座標146,Object Coordinates 146
オブジェクト座標147,Object Coordinates 147
オブジェクト座標148,Object Coordinates 148
オブジェクト座標149,Object Coordinates 149
オブジェクト座標150,Object Coordinates 150
オブジェクト座標151,Object Coordinates 151
オブジェクト座標152,Object Coordinates 152
オブジェクト座標153,Object Coordinates 153
オブジェクト座標154,Object Coordinates 154
オブジェクト座標155,Object Coordinates 155
オブジェクト座標156,Object Coordinates 156
オブジェクト座標157,Object Coordinates 157
オブジェクト座標158,Object Coordinates 158
オブジェクト座標159,Object Coordinates 159
オブジェクト座標160,Object Coordinates 160
オブジェクト座標161,Object Coordinates 161
オブジェクト座標162,Object Coordinates 162
オブジェクト座標163,Object Coordinates 163
オブジェクト座標164,Object Coordinates 164
オブジェクト座標165,Object Coordinates 165
オブジェクト座標166,Object Coordinates 166
オブジェクト座標167,Object Coordinates 167
オブジェクト座標168,Object Coordinates 168
オブジェクト座標169,Object Coordinates 169
オブジェクト座標170,Object Coordinates 170
オブジェクト座標171,Object Coordinates 171
オブジェクト座標172,Object Coordinates 172
オブジェクト座標173,Object Coordinates 173
オブジェクト座標174,Object Coordinates 174
オブジェクト座標175,Object Coordinates 175
オブジェクト座標176,Object Coordinates 176
オブジェクト座標177,Object Coordinates 177
オブジェクト座標178,Object Coordinates 178
オブジェクト座標179,Object Coordinates 179
オブジェクト座標180,Object Coordinates 180
オブジェクト座標181,Object Coordinates 181
オブジェクト座標182,Object Coordinates 182
オブジェクト座標183,Object Coordinates 183
オブジェクト座標184,Object Coordinates 184
オブジェクト座標185,Object Coordinates 185
オブジェクト座標186,Object Coordinates 186
オブジェクト座標187,Object Coordinates 187
オブジェクト座標188,Object Coordinates 188
オブジェクト座標189,Object Coordinates 189
オブジェクト座標190,Object Coordinates 190
スライムタワー,Slime Stack
エンゼルスライム,Angel Slime
大会係員ベスン,Event Staff Besun
大会係員ブルバー,Event Staff Bruba
大会係員ハグ,Event Staff Hagu
大会係員ツムム,Event Staff Tsummu
大会係員ラッピ,Event Staff Rappi
ナスビナーラ花なし2,Flowerless Woebergine 2
ナスビナーラ花なし3,Flowerless Woebergine 3
ナスビナーラ花なし4,Flowerless Woebergine 4
ナスビナーラ花なし1,Flowerless Woebergine 1
ナンシー,Nancy
ホリス,Hollis
フランコ,Franco
マチメ,Machime
教卓,Desk
ウェディ父モブ,Weddie Father Mob
ウェディ母モブ,Weddie Mother Mob
ウェディ娘モブ,Weddie Daughter Mob
ウェディ秘書モブ,Weddie Secretary Mob
バラのコサージュ,Rose Corsage
筒,Rod
ダゴック,Dagok
ドラナン,Dranan
オギロド,Ogirod
ダイサヌ,Daisanu
シィカフ,Sikafu
マビモ,Mavimo
イガリン,Igarin
ギミック１,Gimmick 1
ギミック２,Gimmick 2
ギミック３,Gimmick 3
ギミック４,Gimmick 4
ギミック５,Gimmick 5
ギミック６,Gimmick 6
ギミック７,Gimmick 7
ギミック８,Gimmick 8
ギミック９,Gimmick 9
ギミック１０,Gimmick 10
シスター・ウナス,Sister Unasu
シスター・トーレ,Sister Torre
シスター・ライラ,Sister Lyra
フワーネ,Fuwane
預かり所シャルギ,Storage Shargi
取引商マルテー,Trader Marte
よろず屋カエマン,General Shop Kaeman
パラシェ,Parache
紹介人ハラリ,Introducer Halali
神官ターブリ,Priest Taburi
魔物管理人アゼルル,Monster Manager Azerul
道具屋スライル,Item Shop Slyle
バシっ娘ルンリィ,Bazoom Girl Lunry
チェイ,Chai
郵便局員ウイロウ,Postman Willow
便せん屋サキ,Paper Shop Saki
ソップ,Sop
ハニィ,Honey
コピ,Copy
サンダー,Thunder
案内係ラファーヌ,Guide Rafane
ラジ,Radi
魚交換員パピ,Fish Exchange Papi
ルピナス,Lupine
ナッくん,Nakkun
チョトス,Chotos
ヒュラナ,Hurana
記憶の赤結晶,Red Memory Crystal
ミーネ,Meena
キーネ,Kine
ルイーダ,Luida
シスター・レジア,Sister Regia
フーたん,Futan
キーたん,Keytan
キンスラぬいぐるみ,King Slime Plushie
うごくせきぞう,Living Statue
赤ぶちの金魚,Red Spot Goldfish
女性の石像,Female Statue
男性の石像,Male Statue
庭木さん？,Mr. Garden Tree
妖精の女王,Fairy Queen
ツリー,Tree
宿屋シュウラ,Innkeep Shuura
宿屋ヘリン,Innkeep Herin
ケキちゃん,Cakey
ルオン,Luon
宿屋モッキン,Innkeep Mockin
シュガメル,Sugarmel
円盤状の床,DiscShape Floor
時見の箱,Timeseer Box
フィロソロス,Philosolos
星辰武王,Star Warrior
Ⅲ勇者,Hero Ⅲ
Ⅲ戦士,WAR Ⅲ
Ⅲ賢者,SGE Ⅲ
Ⅲ僧侶,PRI Ⅲ
ゾーマ,Zoma
スラエル,Srael
オルテガ,Ortega
神官カリウス,Priest Carius
スタロン,Staron
マゴット,Maggot
サマンサ,Samantha
パドレア邸ブランコ,Padrea Mansion Swing
ジャージ男子,Jersey Man
ジャージ女子,Jersey Woman
パック,Pack
床の歯車,Floor Gear
壊れたホウキ,Broken Broom
ヴィスタリア姫,Princess Vistaria
シュトルケ,Stolke
聖魂の剣,Holy Sword
秘術の守護者,Arcane Guardian
ジュテ国王,King Jute
ヤスラム,Yaslam
エッカート神父,Father Eckhart
レリオット,Reliot
エメリヤ妃,Princess Emelia
フェリナ姫,Princess Felina
コルシュール大臣,Minister Corsur
侍従長マヤギン,Chamberlain Mayagin
彫刻家エルノーラ,Sculptor Elnora
カザルス近衛兵長,Guard Captain Casals
ラテル,Rateru
メイム,Mame
メアリア,Mealia
魔王ネロドス,Demon King Nerodos
魔獣ネロスゴーグ,Demon Beast Nerosugog
無限獣ネロスゴーグ,Eternal Beast Nerosugog
ミオク,Mioku
ダボック,Davoc
シスター・サレーマ,Sister Salema
預かり所ボラス,Storage Bolas
道具屋ビナッテ,Item Shop Vinatte
取引商モーベン,Trader Moben
ジェネリー,Genery
ムカデ,Centipede
ルクス,Lux
猛将ギーグハンマー,General Giga Clubber
知将ジャミラス,Jamirus The Wise
時空のしるベ,Spacetime Guide
新作家具屋メーベル,New Furniture Shop Mabel
限定交換屋セステル,Limited Exchange Shop Cestel
ゴルスラ会長,Chairman Gemsly
ロクサーヌ,Roxanne
案内係ロマンツェ,Guide Romanze
預かり所エリカ,Storage Erica
取引商カッシュ,Trader Kasshu
郵便局員リアンナ,Postman Lianna
便せん屋イトクリ,Paper Shop Itokuri
紹介人ロブソン,Introducer Robson
神官クーパー,Priest Cooper
魔物管理人オリー,Monster Manager Ori
道具屋ブロド,Item Shop Burodo
道具屋ジア,Item Shop Jia
魚交換員パラポン,Fish Exchange Parapon
宿屋ジャムラン,Innkeep Jamran
シスター・バチコワ,Sister Bachkova
預かり所メドリ,Storage Medori
取引商ビルラー,Trader Biller
道具屋ワシコフ,Item Shop Wasikov
フォンデッテ,Fondette
ギフト係リーフィー,Gift Clerk Leafy
学園の椅子,School Chair
ギリス,Gillis
モモフ,Momov
デイジーちゃん,Daisy-chan
エミリエ,Emily
オルウェン,Olwen
クオードの剣の鞘,Quard's Scabbard
スライムタワー２段,Slime Stack Stage 2
ルビー,Ruby
魔瘴魂ナドラグル,Miasma Soul Nadraguru
シナイジッチ,Sinazitch
総帥Ｍ,General M
報酬交換員Ｙ,Reward Exchange Y
上級記録員Ｌ,Senior Recorder L
記録員Ｒ,Recorder R
補給大臣Ｐ,Supply Minister P
シチ,Shichi
スライムベス,She-Slime
レモンスライム,Lemon Slime
クイーンスライム,Queen Slime
壊れた異形獣のツノ,Broken Odd Beast's Horn
木箱改,Crate
ネロリー,Neroli
ハンナース,Hannas
シュジャク,Pea Bird
レジェス,Rejes
ローリン,Lauryn
バトエン屋コロペン,Batoen Shop Coropen
ナバーロ,Navarro
ダックス,Dux
ラミー,Rami
クロス,Cross
アウロラ,Aurora
ディグナム,Dignam
カランダ,Calanda
オンディアヌ,Ondian
ヘキート,Hequito
イーシャ,Esha
デグアド,Deguado
オハハ,Ohaha
ジョイク,Joyk
カリア,Kalia
コンギス,Kongis
バクーモフ,Bakumov
ホムディ,Homdi
カエマン,Kaeman
シャルギ,Shargi
マルテー,Marte
竜神のうろこ,Dragon God Scale
エテーネ番兵,Ethene Guard
侍従アーケン,Chamberlain Archen
ローメオ,Romeo
ナツォス,Natsos
シェレナ,Sherena
ギリオン,Girion
エオン,Eon
ディクトール,Dictor
シスター・ノンナ,Sister Nonna
マーデル,Mardel
ナフェット,Nafet
サコシュ,Sakosh
エライザ,Eliza
ラパーニャ,Lapagna
ヒルベル,Hilbell
ポルマリー,Pormary
フォルネウス,Forneus
トロッド,Trod
ジャントン,Janton
キリウス,Kirius
ハジス,Hajis
ベルーノ,Belluno
オラベル,Ollabelle
セルバス,Selbus
モルトン,Molton
ロゼウス,Roseus
デモニク,Demonique
サルベス,Salves
カティーラ,Katilla
ジャルマ,Jalma
ライリー,Riley
エラディス,Elladis
ディクウス,Dikuus
ラガルト,Lagart
ザンガル,Zangal
グリーノ,Grino
モルベルト,Morbert
ファルモス,Falmos
ロゼルフ,Roself
ダリュー,Daryu
ザクリュー,Zacharyu
クリッセン,Chrissen
ヘクター,Hector
ケンガン,Kengan
パデーン,Padane
ジミニス,Diminis
ヨコジャン神父,Father Yokojan
宿屋ラデビュー,Innkeep Ladebyu
道具屋ミャダバ,Item Shop Myadaba
アルダモン,Aldamon
カヤーク,Kayak
ナンシュカ,Nanshka
ヤンミン,Yanmin
創世の樹の番人,Genesis Tree Guardian
薄明の花,Dusk Flower
レイメイ,Reimei
コスミン,Cosmin
ルシアン,Lucian
コドラン,Newton
ドラスケ,Draniel
リュウタ,Ryuuta
イガッロ,Igalo
管理鳥１３４,Management Bird 134
管理鳥７８,Management Bird 78
管理鳥１８６,Management Bird 186
ゴールドニャン,Gold Cat
新作家具屋ミヤ,New Furniture Shop Mia
戦禍のタネ,Evil War Seed
シングルメタル,Single Metal
あずかりツボ,Stored Pot
時見の光球,Timeseer's Orb
宿屋ラメルヌ,Innkeep Ramerne
案内係アルゴー,Guide Argo
預かり所デイスン,Storage Dyson
取引商ウロゾス,Trader Urozos
郵便局員マルセン,Postman Marsen
便せん屋アカリ,Paper Shop Akari
紹介人トーリナ,Introducer Torina
神官マウジャ,Priest Mauja
魔物管理人ドリアス,Monster Manager Dorias
道具屋ティロ,Item Shop Tiro
道具屋ラカーナ,Item Shop Lacana
魚交換員パパルパ,Fish Exchange Papalupa
預かり所エフォー,Storage Epho
取引商ヒョコタ,Trader Hyokota
神獣プリフィー,God Beast Prifie
マテンホ,Matenho
ロレンゾ,Lorenzo
ヤーナン,Yanan
ハッシュ,Hash
神官ヘール,Priest Hale
将校ソール,Officer Saul
新作家具屋ハズカム,New Furniture Shop Hazcam
ギルガラン王子,Prince Gilgaran
グリエ王子,Prince Grie
ムニュ大臣,Minister Munyu
先王ゾルトグリン,Former King Zoltgrin
ネウズ兵士長,Lead Soldier Neuzu
ザロイン,Zaroin
レビ,Levi
スロリブ,Throlib
ダンマジ,Danmaji
ララバ,Laraba
ロズロズ,Lozloz
ボッチィ,Bocchi
魔封士モルガン,Demon Sealer Morgan
スミジィ,Sumiji
グッネ,Goode
バルバリ,Barbari
アンゴ,Ungo
ネガセル,Negaser
エリガン,Eligan
鬼人兵,Evil Ogre
狂鬼ドランド公,Mad Prince Drand
原獣プレゴーグ,Wild Beast Pregog
喪心獣ゾンテドール,Mourning Beast Zontedor
ギッショ,Gissho
ナナリー博士,Dr. Nanalee
ゼイゴ,Zeigo
案内係ビレー,Guide Belay
預かり所ウロック,Storage Ulock
神官エイラ,Priest Eira
サタデス,Satades
ルドルフ,Rudolph
ゴーディ,Gordy
ユリシーズ,Ulysses
アブリル,Avril
マーゴ,Margo
エスメラルダ,Esmeralda
マイキー,Mikey
スポット,Spot
アゼルル,Azerul
タミチョ,Tamicho
スライル,Slyle
ギミック１1,Gimmick 11
ギミック１２,Gimmick 12
ギミック１３,Gimmick 13
ギミック１４,Gimmick 14
ギミック１５,Gimmick 15
ユリエル,Yuriel
ガズバランのしるし,Gazbalan Badge
ラガルド,Lagarde
玩具屋カルタ,Toy Shop Karuta
シェンナ,Sienna
ガヴェル,Gavel
マヒーロ,Mahero
マヤクニ,Mayakuni
ファブロ,Fabro
シバーラ,Shivara
フィロゾス,Philosos
セレディーネ,Seredine
医師ヨーグ,Dr. Yog
ライロック,Lylock
ねこちゃん,Cat
ピンチョ,Pincho
ダークポイックリン,Dark Poiclin
黒い人カゲ,Black Lizardman
ドラキーマ,Drackyma
ファヒータ,Fajita
悪魔キェルグ,Devil Kyerug
ガガレ,Gagare
レモモ,Remomo
双角のかぶと,Horned helmet
風の腰布,Wind Cloth
ポイックリンクエの台座,Poiclin Quest Pedestal
ポイックリンクエの檻,Poiclin Quest Jail Cell
ペイバン,Payvan
ランブ,Ranbu
ビントン,Vinton
リセセ,Risese
カルレ,Carle
ツンガ,Tunga
テルテル,Tel Tel
マメマメ,Mame Mame
タンタン,Tan Tan
ミノン,Minon
トント,Tonto
ビビカル,Bibical
ハラハラ,Hara Hara
御者コルギ,Coachman Corgi
バチノス,Bachinos
プーカ,Puka
トラバー,Traver
ガエトゥリ,Gaeturi
ヴァラギ,Varagi
グーマン,Guman
チギット,Chigit
バレリー,Balery
紹介人メロ,Introducer Melo
シャレン,Sharenn
古着屋ルギー,Used Clothing Rugi
取引商トレド,Trader Toledo
賢者サラム,Sage Salam
０８号,Number 08
マリッチ,Marich
ウルタ皇女,Princess Ulta
砂上船,Sandship
ウルタの銃,Ulta's Gun
闘士ムガチ,Fighter Mugachi
闘士ガスペロ,Fighter Gaspero
闘士ザリガッパ,Fighter Zarigappa
ウヅキ,Uzuki
闘士ギルビィス,Fighter Gilvis
闘士メイガン,Fighter Megan
ルッチー,Lucchie
ゴランゾ,Golanzo
ピンキー,Pinky
パイセン,Paisen
ウィーブ,Weav
ピエロの男,Clown Man
バニーの女,Bunny Girl
宿屋バサキ,Innkeep Basaki
よろず屋バレイ,General Shop Barei
スイミア,Suimia
ルリレア,Lulilia
取引商オミー,Trader Omi
サーレ,Sarei
ファヒータのホウキ,Fajita's Broom
からっぽの赤宝箱,Empty Red Treasure Chest
シンシン,Shin Shin
ドシノズ,Doshinoz
ダチモギ,Dachimogi
ジャ・クバ,Ja Kuba
カアチス,Kaachis
トトッジ,Totojji
タウバヤ,Taubaya
チェトス,Chetos
ツツマ,Tsutsuma
ランシシ,Ranshishi
クッチョ,Cucho
チイチイ,Chi Chi
クヨチ大臣,Minister Kyochi
ユパンキ,Yupanki
ルルミソ,Lulumiso
球体式浮遊座椅子,Spherical Floating Seat
ウルタ皇女の工具,Princess Ulta's Tools
異形獣入りの地脈の結晶,Geode Crystal with Odd Beast
エバジラ,Evagila
新作家具屋ニニモ,New Furniture Shop Ninimo
星拳士サンサ,Starfighter Sansa
オルノーラ,Ornola
新作家具屋カガミ,New Furniture Shop Kagami
新作家具屋メアル,New Furniture Shop Mare
ミヤビ,Miyabi
トーチル,Tochill
カーネラ,Carnella
パッキュレ神父,Father Pakkure
バァツェ,Bahtze
Ｐ８９０,P 890
ボンドル,Bondor
ハマユリ,Hamayuri
センカ,Senka
ツァデク,Tsadek
酒場の置き物,Tavern Ornament
壊れた酒場の置き物,Broken Tavern Ornament
お菓子のビン,Candy Jar
霧吹き,Sprayer
通信機,Comms Set
魔物管理人リブ,Monster Manager Ribu
道具屋モリモリ,Item Shop Morimori
紹介人バッヅ,Introducer Badz
神官ネムド,Priest Nemdo
郵便局員モニモニ,Postman Monimoni
便せん屋ササミ,Paper Shop Sasari
取引商ガイノー,Trader Gaino
預かり所モギィ,Storage Moggy
案内係ナギモ,Guide Nagimo
魚交換員プトゥン,Fish Exchange Putun
ランニャー,Rania
労魔デスワーク,Labor Demon Deathwork
遊び人のサングラス,Gadabout's Sunglasses
ネコヤシの実ドリンク,Cat Coconut Drink
クワ,Kuwa
フォークに刺さったパンケーキ,Pancakes Stuck in a Fork
お皿に載ったパンケーキ,Pancakes on a Plate
ホカホカストーン,Warmaline
旅の覇者モンジ,Travel Champion Monji
セミの抜け殻,Cicada Husk
ガルレイ,Gullray
バングーン,Bangoon
呪術師ゴルガーレン,Shaman Golgaren
グルグロス,Gurgloss
宿屋ランバル,Innkeep Ranbaru
シスター・ソマリ,Sister Somali
預かり所トィン,Storage Tin
道具屋スドラ,Item Shop Sudra
ワッガ,Wagga
エグミ,Egumi
タマーサ,Tamasa
ガミミ,Gamimi
デブアメショ,Fat Shorthair Cat
ダークポイックリンのハネ,Dark Poiclin Wing
特典屋レトト,Reward Shop Letto
ナヤマジ,Nayamaji
ランドー,Lando
コンコ,Conco
大魔神格納庫のガレキ１,Great God Hanger Rubble 1
大魔神格納庫のガレキ２,Great God Hanger Rubble 2
大魔神格納庫のガレキ３,Great God Hanger Rubble 3
シャンチュア,Shantua
テオムハ,Teomha
ザッツ,Zattsu
テプチイ,Tepuchii
アッソニ,Assoni
タバアツ,Tabaatsu
パアク,Paak
ツィンゴ,Zingo
モッチ,Mocchi
チャアム,Chaam
トゥン,Tun
モチョフ,Mochov
ククツカ,Kukutsuka
ウンバク,Umbak
ポコムチ,Pokomuchi
ケレム,Kerem
労働魔神機０３１号,Aztech Labor Mech No. 031
労働魔神機０３４号,Aztech Labor Mech No. 034
労働魔神機０３７号,Aztech Labor Mech No. 037
ツィンカ,Zinka
メヌヌ,Menun
ツテバク,Tsutebaku
トコイ,Tokoi
チチム,Chichim
タタメ,Tatama
ララタ,Lalata
めんこ屋チャガン,Pogs Shop Chagan
シスター・レレノ,Sister Releno
シスター・リリン,Sister Lilin
ウッツァ神父,Father Uzza
防衛魔神兵０５４号,Aztech Guard No. 054
カック,Cack
仕立て屋サテテ,Tailor Satete
チャイチャ,Chaicha
ネネナ,Nenena
ユユナ,Yuyuna
テテン,Teten
フフママ,Fufumama
ワステコ,Wasteko
モツィ,Mozi
パエエ,Pae
ズッチ,Zucchi
クワック,Quack
ポコマム,Pocomam
チョル,Chul
ピワワ,Piwawa
防衛魔神兵０５３号,Aztech Guard No. 053
ゴトアン,Gotoan
モモコナ,Momokona
ヨヨン,Yoyon
チッチ,Chitchi
トゥヒル,Tohil
クチケル,Kuchikel
チュカカ主任,Chief Chukaka
ガットン,Gatton
パカル主任,Chief Pacal
ムットウ,Mutto
イクテ,Ikutei
アケケ,Akeke
タアマツ,Taamatsu
ムムラ,Mumura
チェナロ,Chenaro
メルメ,Melme
オチョロ,Ochoro
ウギツ,Ugitsu
防衛魔神兵０５２号,Aztech Guard No. 052
防衛魔神兵０５５号,Aztech Guard No. 055
ツォンデム主任,Chief Tsondem
セスス,Cess
ウステコ,Usteco
グエン,Nguyen
ニニバサ,Ninibasa
ヤアブ,Yaab
シシイル,Sicil
０７号,Number 07
破壊魔神兵０６９号,Aztech Guard No. 069
破壊魔神兵０７５号,Aztech Guard No. 075
新作家具屋クレプ,New Furniture Shop Crepe
シスター・ガララ,Sister Galara
プクラス,Pukulas
パルミオ２世,Palmio II
パドレ,Padre
増殖獣バイロゴーグ,Multiplying Beast Biologog
管理タブレット中古,Used Management Tablet
管理タブレット新品,New Management Tablet
ホーローの記憶の結晶,Hollow's Memory Crystal
胡蝶の花,Butterflower
胡蝶の護符,Butterfly Charm
おまんじゅう,Steamed Bread
おまんじゅうの入った折詰,Steamed Bread Packed in a Box
パノン,Panon
警備魔神兵０４１号,Aztech Guard No. 041
